address,amount
juno1fsjuut22ccrqpvpam29yuz6evq8qpv5htzrfyx,600
juno1tq6wn96tarcd9ycmw2z8362wcaaax383lvxww3,600
juno1wlszw5rrtjpgq7vhxksjukmzam8zgnu8zqk0pd,600
juno1vwvwvczsk645puqaplj04a8fv6ty7zhufj38jx,600
juno1ga0h9cmpu0sp5pzm3uazjsrcr83upwhjd254vg,600
juno1a2q6fu5sgd2yxktsp3240cnynkx64yhsaajwlj,600
juno16mcd3fzydexj56pumhncdnysprkp8na6z62uye,600
juno1uenx9sfk8zxckwmdv4yej7c8ae52upmzec00p7,600
juno148tf39g947zv5h93kjgkq059lvzmdn5strjghw,600
juno1ws35h8zsqzhukjd9wjffwuf9y5pmtwnjg38j52,600
juno1vzw79rr7keaw33t5v8x63vwu44n98eehwkpjwj,600
juno1gevqavl580gc5lwxh7xp6hyf4rzuf9xn6c77f3,600
juno1njqr6xukgxycmp98xjzwm6e3ad7rccfh3l7k9j,600
juno1lv8pap3l3s8cmdn47f7avflc54cc7rlf20spzq,600
juno1qjkw5hrawljhd73ph8kkl9npvrshyejv7zc3h3,600
juno1phsk5t7pjjvjy3whf0rpfqgxavrwdddyecyfnu,600
juno1ljfjvdg0hps4ysqtckmx87w3hrwv54knncdx8l,600
juno17snxq7sdny468jc7kyxc2m4pzqvzpnv0u69tgx,600
juno1qzsu9396dllgupx5w6lfcg4h8wh0rtrc333lvj,600
juno1fkhgf745spwsjxt3j3vd59pwhrt3cank0xf6wt,600
juno19qcvpaa5gcej5cxuhjj2emevv7kup3xpkvm56d,600
juno1dmqp9ytcrksuk32gxz43hy4738p0zlvjgwmenz,600
juno1tfuw8phy55s28alq50j4un54fkc43tdgrwepe3,600
juno1muqmkczggwc0z6pce3cndd7mdmvcad6g8zephr,600
juno1nn8446v40g0qtylagn49cs4lzzfusajw0yfuvr,600
juno16f0y6dfhc9awwg24648yjpq3auntluwah3602y,600
juno15n67wryxdwzjw8tzffz8yjed0ljfzdg5zl4vmu,600
juno1ck2c2p2feexjnzype89m9tygdq5qh7vh3stvnx,600
juno1trc4gh23gr94pntwqpfr8wxyf85e97pehxx2gv,600
